,User,Hashtags,Like,Retweet,Follow,Tag,Link,Time
169,crystalmike_cm,"#sundayvibes,#FACupFinal,#NFTGiveaways,#NFTs,#CryptoNews,#opensea",0,0,0,0,https://twitter.com/twitter/statuses/1525914629549047810,2022-05-15 19:02:52+00:00
170,clips_dark,"#PolygonNFT,#NFTs,#nftart,#NFTProject,#opensea,#OpenSeaNFT,#CleanNFT,#NFTGiveaways,#ETH,#BTC",0,0,0,0,https://twitter.com/twitter/statuses/1525914443238219777,2022-05-15 19:02:08+00:00
171,HappyFrogsNFTs,,0,0,0,0,https://twitter.com/twitter/statuses/1525914385675337729,2022-05-15 19:01:54+00:00
172,realkennypowell,,0,0,0,0,https://twitter.com/twitter/statuses/1525914134478348294,2022-05-15 19:00:54+00:00
173,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525914093181227010,2022-05-15 19:00:44+00:00
174,OG_metapunks,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525914029402705920,2022-05-15 19:00:29+00:00
175,LoneWolf_SC,"#LWSC,#NFT,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525914016446615553,2022-05-15 19:00:26+00:00
176,Samoanpush,"#creatorclash,#NFTs,#NFTProjects,#NFT,#NFTGiveaways,#NFTCommunity,#LUNA",0,0,0,0,https://twitter.com/twitter/statuses/1525914003356192768,2022-05-15 19:00:23+00:00
177,R_charyyev,,0,0,0,0,https://twitter.com/twitter/statuses/1525913973358469121,2022-05-15 19:00:16+00:00
178,NFT2PRINTCOM,,0,0,0,0,https://twitter.com/twitter/statuses/1525913912687869952,2022-05-15 19:00:01+00:00
179,NFTRichCrypto,#BNB,1,1,@NFTRichCrypto,0,https://twitter.com/twitter/statuses/1525913910204768256,2022-05-15 19:00:00+00:00
180,spankzy88,#NFT,0,0,0,0,https://twitter.com/twitter/statuses/1525913908560683009,2022-05-15 19:00:00+00:00
181,jeffersonbruman,"#crofam,#Cronos",1,0,0,0,https://twitter.com/twitter/statuses/1525913907654557696,2022-05-15 19:00:00+00:00
182,NarloNFT,,1,1,0,0,https://twitter.com/twitter/statuses/1525913831331008512,2022-05-15 18:59:42+00:00
183,khanjiCreations,"#NFT,#NFTs,#NFTGiveaways,#Cryptos",0,0,0,0,https://twitter.com/twitter/statuses/1525913811647188992,2022-05-15 18:59:37+00:00
184,NeonkeysNFT,"#NFT,#NFTCommmunity,#nftcollector,#NFTcollectibles,#NFTGiveaway,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525913746220236806,2022-05-15 18:59:21+00:00
185,SENDYOURNFT,"#NFTCommunity,#NFTGiveaways,#NFT",0,0,0,0,https://twitter.com/twitter/statuses/1525913671586656256,2022-05-15 18:59:04+00:00
186,pupilmask,"#NFT,#NFTCommunity,#NFTGiveaways,#NFTdrop",0,1,0,0,https://twitter.com/twitter/statuses/1525913631682138112,2022-05-15 18:58:54+00:00
187,calligrator,"#NFT,#NFTs,#NFTCommunity,#NFTGiveaways,#NFTartist",0,0,0,0,https://twitter.com/twitter/statuses/1525913623377453058,2022-05-15 18:58:52+00:00
188,FalcoCotton,"#NFTs,#NFTCommunity,#NFTGiveaways,#NFTartist,#nftlover",0,0,0,0,https://twitter.com/twitter/statuses/1525913619174670339,2022-05-15 18:58:51+00:00
189,Mr_Vich_Uk,"#nft,#nfts,#nftart,#nftcollectors,#NFTcollection,#NFTcollectibles,#NFTProjects",0,0,0,0,https://twitter.com/twitter/statuses/1525913608504463361,2022-05-15 18:58:49+00:00
190,StarWarsMeta,,1,1,['@StarWarsMeta'],Tag 3 people,https://twitter.com/twitter/statuses/1525913546273570816,2022-05-15 18:58:34+00:00
191,DWDNFTStudio,,0,0,['@Heartsxrp'],0,https://twitter.com/twitter/statuses/1525913438542737408,2022-05-15 18:58:08+00:00
192,Alittsugar,"#NFTs,#NFT,#NFTGiveaways,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525913422847688713,2022-05-15 18:58:04+00:00
193,realkennypowell,"#BLUEming,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525913420175843328,2022-05-15 18:58:04+00:00
194,TiTs_JaCkEd,#NFTGiveaway,0,0,0,0,https://twitter.com/twitter/statuses/1525913311015063554,2022-05-15 18:57:38+00:00
195,ladri_25,,0,0,0,0,https://twitter.com/twitter/statuses/1525913297022857219,2022-05-15 18:57:34+00:00
196,adilson852,"#nft,#airdrop,#poap,#NFTGiveaways,#Web3,#DeFi,#NFTCommunity",0,0,0,0,https://twitter.com/twitter/statuses/1525913279671025665,2022-05-15 18:57:30+00:00
197,TiTs_JaCkEd,"#WICKEDMFERS,#NFT,#CREYZIES,#GIVEAWAY",0,0,0,0,https://twitter.com/twitter/statuses/1525913276948815879,2022-05-15 18:57:29+00:00
198,DevTwittee,"#NFTGiveaway,#NFT,#NFTJapan,#Ethereum,#Polygon",0,0,0,0,https://twitter.com/twitter/statuses/1525913272452386816,2022-05-15 18:57:28+00:00
199,NFT_collectorm,"#NFTs,#NFTcollection,#Etherum",0,0,0,0,https://twitter.com/twitter/statuses/1525912663519371273,2022-05-15 18:55:03+00:00
200,SanwalMumtaz8,"#NFTCollection,#NFTGiveaways,#NFTdrop,#NFTCommunity,#NFTs",0,0,0,0,https://twitter.com/twitter/statuses/1525912648767770624,2022-05-15 18:55:00+00:00
201,viewsandart,#NFT,0,0,0,0,https://twitter.com/twitter/statuses/1525912439044308993,2022-05-15 18:54:10+00:00
202,realkennypowell,"#crime,#NEW,#movie",1,0,0,0,https://twitter.com/twitter/statuses/1525912436217217025,2022-05-15 18:54:09+00:00
203,Senseisports1,#Spain,0,0,0,0,https://twitter.com/twitter/statuses/1525912332735393792,2022-05-15 18:53:44+00:00
204,Cfnvlogs,"#NFTCommunity,#NFTs,#NFTGiveaways",0,0,0,0,https://twitter.com/twitter/statuses/1525912291312549888,2022-05-15 18:53:34+00:00
205,doodlebeastnft,,0,0,0,0,https://twitter.com/twitter/statuses/1525912245909303296,2022-05-15 18:53:24+00:00
206,cryptoPig0_0,#NFTCommunity,1,0,@cryptoPig0_0,0,https://twitter.com/twitter/statuses/1525912222412771330,2022-05-15 18:53:18+00:00
